"STUDY_ID","REVIEWERS","INCLUDE","title","abstract","reviewer"
11,NA,"not vetted","Competitive ability of rotational crops with weeds in dryland organic wheat production systems","While demand continues to grow and prices for organic grains have remained almost double those of conventional grains, few growers in the dryland wheat production region of Eastern Washington produce organic grain. Growers have cited weed control constraints as a top factor preventing adoption of organic production practices. In organic systems, inherent competitive ability of crops is very important in managing and preventing weed infestations. The objective of this study was to identify crop species that could reduce weed pressure and compete with perennial weeds in a wheat (Triticum aestivum) rotation. To assess weed suppressive ability of alternative rotational crops, relative total weed biomass and relative biomass of two perennial and three annual weed species were examined over 4 years in three organic cropping systems where winter wheat was in rotation with alternative crops, as part of a long-term study examining dryland organic wheat production. Three years of continuous alfalfa (Medicago sativa) production reduced Canada thistle (Cirsium arvense) biomass during the alfalfa production phase, and reduced Canada thistle biomass in winter wheat following alfalfa, compared with wheat following winter pea (Pisum sativum). Alfalfa was competitive with wild oat (Avena fatua), though it competed poorly with winter annual grass weeds. Spring barley (Hordeum vulgare), when established successfully, suppressed jointed goatgrass (Aegilops cylindrica) more than winter triticale (x Triticosecale), winter wheat, and spring wheat, and demonstrated some competitiveness toward field bindweed (Convolvulus arvensis). Winter triticale competed poorly with field bindweed, but suppressed Canada thistle and downy brome (Bromus tectorum). All alternative rotational crops contained lower weed biomass than winter pea, the crop typically rotated with wheat in the region. Organic and conventional growers could gain benefits in perennial and winter annual weed suppression by incorporating alternative rotational crops into wheat rotations.","Marta"
12,NA,"not vetted","Net global warming potential and greenhouse gas intensity in organic and conventional wheat-based farming systems","There is a need of information about global warming potential in wheat (Triticum aestivum L.)-based organic and conventional farming systems. We evaluated net global warming potential (NGWP) and greenhouse gas intensity (GHGI) in the organic farming system (OFS) using sheep grazing to control weeds without N application and the conventional farming system (CFS) with herbicide, pesticide, and N applications in three crop phases of a 5-yr crop rotation from 2013-2014 to 2015-2016 in the northern Great Plains. Crop phases were winter wheat after lentil (Lens culinaris L.) (W-L), winter wheat after sweet clover (Melilotus officinalis L.) cover crop (W-C), and lentil after winter wheat (L-W) in a 5-yr rotation of safflower (Carthamus tinctorius L.) and sweet clover cover crop intercrop-sweet clover cover crop-winter wheat-lentil-winter wheat. Carbon sequestration rate at the 0-to-120-cm depth from 2009 to 2015 was greater in OFS with W-C than other treatments. The CO2 equivalent of N2O + CH4 fluxes was greater in OFS with L-Wthan other treatments, except in CFS with L-W in 2014-2015 and 2015-2016. The CO2 equivalent of N fertilization was greater in CFS, but CO2 equivalent of CH4 flux due to enteric fermentation from sheep was greater in OFS. Both NGWP and GHGI were lower in OFS with W-C than other treatments. Organic farming system using sheep grazing to manage weeds in winter wheat following cover crop can reduce NGWP and GHGI compared with CFS with chemical inputs in dryland farming.","Marta"
13,NA,"not vetted","Weed responses to fallow management in Pacific Northwest dryland cropping systems","A two-year rotation of summer fallow (SF)/winter wheat (WW) is the most common cropping system in low precipitation areas of the U.S. Pacific Northwest (PNW). In SF, multiple tillage operations are used to manage weeds and maximize soil water storage and potential WW yield. Reduced tillage fallow (RTF) is an alternative to SF that leaves > 30% of the previous crop's residue on the surface. A four-year (2014-18) field study was conducted to evaluate the influence of SF and RTF on weed species density, cover and composition in dryland WW; determine if changes in these weed infestation attributes have any influence on crop density and yield; and evaluate economic costs of each type of fallow management. The experimental design was randomized complete block with four replications where each phase of SF/WW and RTF/WW rotations was present every year. Individual plots of WW were divided into a weedy sub-plot with no weed control, general area with chemical weed control, and weed-free sub-plot where weeds were manually removed. Infestations of annual grass and other weeds in weedy sub-plots increased throughout the study. Grass weed cover, consisting mainly of downy brome (Bromus tectorum L.), and total weed cover were significantly lower in WW following RTF than following SF in all years except 2018. Densities of grass and total weeds were similar in both fallow managements indicating that weed plants were larger in WW following SF than following RTF due to earlier or faster emergence. Grass cover differences were not found in general areas likely because of a reduced seedbank. When weeds were present, mean yield of WW was higher following RTF than SF indicating that weeds were less competitive in RTF. Reduced tillage fallow could improve weed management in fallow/WW cropping systems of the PNW compared to SF/WW, particularly if the most problematic species are grasses.","Marta"
14,NA,"not vetted","Evaluating opportunities for an increased role of winter crops as adaptation to climate change in dryland cropping systems of the US Inland Pacific Northwest","The long-term sustainability of wheat-based dryland cropping systems in the Inland Pacific Northwest (IPNW) of the United States depends on how these systems adapt to climate change. Climate models project warming with slight increases in winter precipitation but drier summers for the IPNW. These conditions combined with elevated atmospheric CO2, which promote crop growth and improve transpiration-use efficiency, may be beneficial for cropping systems in the IPNW and may provide regional opportunities for agricultural diversification and intensification. Crop modeling simulation under future climatic conditions showed increased wheat productivity for the IPNW for most of the century. Water use by winter wheat was projected to decrease significantly in higher and intermediate precipitation zones and increase slightly in drier locations, but with winter crops utilizing significantly more water overall than spring crops. Crop diversification with inclusion of winter crops other than wheat is a possibility depending on agronomic and economic considerations, while substitution of winter for spring crops appeared feasible only in high precipitation areas. Increased weed pressure, higher pest populations, expanded ranges of biotic stressors, and agronomic, plant breeding, economic, technology, and other factors will influence what production systems eventually prevail under future climatic conditions in the region.","Marta"
15,NA,"not vetted","The Effects of Tillage-Induced Soil Disturbance on Weed Infestation of Winter Wheat","The purpose of this work was to investigate whether weed infestation and weed coverage could be managed using less non-inversion soil disturbance. The study was carried out in a degraded chernozem soil in a long-term trial where five ploughless tillage treatments were applied in addition to the mouldboard ploughing treatment: subsoiling, tine tillage (deep and shallow), disk tillage, and direct drilling. In this paper results of weed surveys are evaluated in winter wheat (Triticum aestivum L.) relation, since this crop was grown in six seasons inside of 14 years. Weed surveys were carried out four times in a season using the Balazs-Ujvarosi method, which is based on the ground coverage of the weeds. A high degree of weed coverage was found in the early years of the trial at the ploughless treatments, and particularly at the direct drilling system. During the six years of the wheat, weed coverage significantly decreased in all treatments, and the number of species also dropped from 18 to five. Weed coverage most often decreased in the order: direct drilling > disking > tine tillage (deep) > tine tillage (shallow) > subsoiling > ploughing. We can conclude that the reasons for the decrease in weed coverage were the timing of tillage treatments, the high ratio of cereals in the crop sequence, and the timing of the chemical weed control application, once in the springs and second in cereal stubbles by the end of summer. Although data of grain yields of the winter wheat were supplementary to the evaluation of the changes in weed coverage, they were similarly connected with the tillage-induced soil condition. This study shows the possibility of the weed coverage decrease by the well-adopted soil tillage, including ploughless systems.","Marta"
16,NA,"not vetted","Scouringrush (Equisetum spp.) control in dryland winter wheat","The adoption of chemical fallow rotations in Pacific Northwest dryland winter wheat production has caused a weed species composition shift in which scouringrush has established in production fields. Thus, there has been interest in identifying herbicides that effectively control scouringrush in winter wheat-chemical fallow cropping systems. Field experiments were established in growers' fields near Reardan, WA, in 2014, and The Dalles, OR, in 2015. Ten herbicide treatments were applied to mowed and nonmowed plots during chemical fallow rotations. Scouringrush stem densities were quantified the following spring and after wheat harvest at both locations. Chlorsulfuron plus MCPA-ester resulted in nearly 100% control of scouringrush through wheat harvest. Before herbicide application, mowing had no effect on herbicide efficacy. We conclude chlorsulfuron plus MCPA-ester is a commercially acceptable treatment for smooth and intermediate scouringrush control in winter wheat-chemical fallow cropping systems; however, the lack of a positive yield response when scouringrushes were controlled should factor into management decisions.","Marta"
17,NA,"not vetted","Effects of crop mixtures on rust development on faba bean grown in Mediterranean climates","Faba bean (Vicia faba) is a temperate grain legume of major importance in Mediterranean agriculture. Faba bean production can be severely constrained in the area by rust incited by Uromyces viciae-fabae. Control with fungicides is possible, but there is a growing interest on alternative control methods, compatible with organic agriculture. Intercropping faba bean with cereals has been suggested as an alternative to maximize land use and increase crop resilience, with potential beneficial effects reducing weeds and diseases. In the present work, we studied the effect of intercropping faba bean with barley, triticale or wheat on faba bean rust development. Field studies performed over two consecutive seasons in two different countries showed that faba bean rust is significantly reduced when faba bean is intercropped with cereals confirming the value of faba bean-cereal intercropping for the management of faba bean rust. These results confirm that, under our conditions, intercropping faba bean with cereals (oat, barley, wheat or triticale) could usefully contribute to the management of faba bean rust.","Marta"
18,NA,"not vetted","Cover crops to improve soil health in the North American Great Plains","Rotating cereal crops (e.g., wheat [Triticum aestivum L.] with a 10- to 21-mo summer fallow period [fallow]) is a common farming practice in dryland (rainfed) agricultural regions. Fallow is associated with several challenges including low precipitation storage efficiency, depletion of soil organic carbon (SOC), loss of soil fertility, little crop residue retention and soil erosion, and few control options for herbicide-resistant (HR) weeds. The inability to effectively control HR weeds poses a major challenge to maintaining soil and water conservation practices such as no-tillage, as some producers are considering tillage to control weeds. Cover crop (CC) integration into wheat-based production systems to replace portions of the fallow period provides an opportunity to increase SOC, improve soil fertility, suppress weeds, and increase profitability of dryland crop production, especially when CCs are used as forage. This forum paper used the North American Great Plains as a model region to review information on (a) challenges of dryland agriculture; (b) integrating CCs in dryland agriculture; (c) benefits, challenges, and limitations of CCs in dryland crop production; (d) management options for CC integration in dryland grain systems; and (e) recommendations for future research efforts.","Marta"
19,NA,"not vetted","Wild Mustard (Sinapis arvensis) Competition and Control in Rain-Fed Spring Wheat (Triticum aestivum L.)","Wild mustard (Sinapis arvensis L.) is a weed that frequently infests spring wheat (Triticum aestivum L.) fields in Moscow province, Russia. It is an annual broad leaf weed, which is indigenous throughout most parts of the globe and one of the most competitive weeds of spring cereal crops. In southern Russia it is emerging as an important crop competitor. Field trials focusing on herbicide timing and efficacy on wild mustard control and spring wheat yield in the Moscow region, Kashira and Baribino districts. A PRE glyphosate application to wheat regardless of fall or spring application timing favorably suppressed wild mustard in 2018. Weeds were not controlled in 2019 with the earliest application timings of glyphosate because weeds emerged late. In comparing fall and spring application timings, the formulated combination of (iodosulfuron/mesosulfuron/antidote mefenpyr-diethyl) at both field rates provided 80% weed control for all application timings and locations, and also resulting in the greatest spring wheat grain yield. Overall, herbicide treatments performed greater when they were in the fall than during the spring. Based on POST herbicide application, tribenuron-methyl provided the greatest wild mustard suppression (75%) and also caused the highest reduction in wild mustard biomass (3.3 g), stem number (6), seed number (880) and germination percentage (33%). When wild mustard was approximately 32 weeds/m(2) causedtotal wheat yield loss.","Marta"
20,NA,"not vetted","Growth and development of spring crops in competition with oat in the dryland Mediterranean climate of eastern Washington","Weed management during spring crop production in eastern Washington presents many challenges. Many spring crops are weak competitors with weeds. In May of 2010 and 2011, two spring crop trials were initiated near Pullman, WA, to compare the relative competitiveness of barley (Hordeum vulgare L.), wheat (Triticum aestivum L.), lentil (Lens culinaris Medik.), and pea (Pisum sativum L.) using cultivated oat (Avena sativa L.) as a surrogate for wild oat (Avena fatua L.) competition. The experiment was arranged as a split-block split-plot design with four replications. One set of main plots included three oat density treatments (0, 63, and 127 plants m(-2)), while a second set included each crop species. Crop species main plots were then split into subplots of two different seeding rates (recommended and doubled). Crop populations decreased as oat density increased and increased as crop seeding rate increased. As oat density increased, preharvest crop biomass decreased for all crops, while oat biomass and yield increased. Oat biomass and yield were greater in legume plots compared with cereal plots. Increasing oat density decreased yields for all crops, whereas doubling crop seeding rate increased yields for barley and wheat in 2010 and barley in 2011. Compared with legumes, cereals were taller, produced more biomass, and were more competitive with oat.","Marta"
21,NA,"not vetted","Challenges and Responses to Ongoing and Projected Climate Change for Dryland Cereal Production Systems throughout the World","Since the introduction of mechanized production in both developed and developing countries, crops and their management have undergone significant adaptation resulting in increased productivity. Historical yield increases in wheat have occurred across most regions of the world (20-88 kg ha(-1) year(-1)), but climate trends threaten to dampen or reverse these gains such that yields are expected to decrease by 5-6% despite rising atmospheric CO2 concentrations. Current and projected climatic factors are temporally and spatially variable in dryland cereal production systems throughout the world. Productivity gains in wheat in some locations have been achieved from traditional agronomic practices and breeding. Continued improvement in all cereal production regions and locations of the world requires technical advances, including closer monitoring of soils, water conservation strategies, and multiple sowing times using different crops to reduce risks. The management of disease, pests, and weeds will be an added challenge, especially in areas of higher precipitation. Excellent progress has been achieved in Asia and there is much potential in Sub-Saharan Africa. Technical solutions seem within our grasp but must be implemented in the context of variable social, economic, regulatory, and administrative constraints, providing opportunities for cross fertilization and global collaboration to meet them.","Marta"
22,NA,"not vetted","Economic Performance of Rainfed Wheat-Double Crop Systems under Weed Competition","This study examines the economic performance of rainfed cropping systems endemic to the Southern Great Plains under weed competition. Cropping systems include tilled and no-till wheat-fallow, wheat-soybean, and wheat-sorghum rotations. Net returns from systems are compared under different levels of weed pressure. Producers operating over longer planning horizons would choose to double-crop regardless of the tillage method used and weed pressure level. Producers operating under shorter planning horizons would implement wheat-fallow systems when weed pressure is high and double crop when weed pressure is low.","Marta"
23,NA,"not vetted","Modeling the Population Dynamics of a Community of Two Grass Weeds of Winter Wheat in a Mediterranean Area","Compared to classical, only-one weed species models, demographic projections accounting for species interactions within the weed community might represent a more realistic approximation to the outcome of weed control options in Mediterranean cereal crops. A mathematical model for simulating the dynamics of a weed community composed of populations of Lolium rigidum and Avena sterilis growing in winter wheat under a Mediterranean climate has been constructed using previous reported data on demographic rates. The model was used to simulate the population long-term dynamics and the effect of eight herbicide-based control strategies. In absence of herbicide application, our model predicts that A. sterilis seed bank increases steadily up to an equilibrium density of 2567 seeds m(-2) whereas L. rigidum is driven to extinction after a period of 9years. The most effective strategy in terms of reducing weed abundance in the long-term was the application of full dose of herbicide controlling L. rigidum and half-dose of herbicide controlling A. sterilis, which resulted in an equilibrium level of 25 seeds m(-2) for L. rigidum and extinction of A. sterilis. A sensitivity analysis showed that the demographic process to which the model was more sensitive was seed rain loss in both species. Furthermore, control tactics specifically focusing on these demographic parameters should be investigated.","Marta"
24,NA,"not vetted","Long-Term Tillage on Yield and Water Use of Grain Sorghum and Winter Wheat","Tillage is among crop management factors that affect yield, profitability, and environmental quality. The objective of our study was to evaluate the effect of three long-term tillage intensities; conventional tillage (CT), reduced tillage (RT), and no-till (NT), on winter wheat (Triticum aestivum L.) and grain sorghum (Sorghum bicolor L.) yield, available soil water (ASW), and water productivity. The study was conducted near Tribune, KS, from 1991 through 2015 in a wheat-sorghum-fallow (WSF) rotation. The CT plots were tilled (primarily with a sweep plow), on average, four to five times per fallow season; NT plots used herbicides for weed control during fallow. The RT plots used a combination of herbicides and tillage for weed control during fallow prior to both crops for years 1991 to 2000; and, for the years 2001 to 2015, the RT system was NT before sorghum planting (short-term NT) and CT before wheat planting. On average, there was a 31% wheat yield advantage for NT over CT, 16% NT over RT, and 12% RT over CT. On average, there was a 120% sorghum yield advantage for NT over CT, 41% NT over RT, and 55% RT over CT. Sorghum yields were 80% greater for continuous NT compared with short-term NT (2001-2015 RT). The average of profile ASW at planting was less for CT compared with NT and RT. There was a significant yield and water productivity benefit in the order NT > RT > CT for both crops, but greater for sorghum than wheat.","Marta"
25,NA,"not vetted","Genetic improvement of wheat early vigor promote weed-competitiveness under Mediterranean climate","Chemical weed-control is the most effective practice for wheat, however, rapid evolution of herbicide-resistant weeds threat food-security and calls for integration of non-chemical practices. We hypothesis that integration of alternative GA-responsive dwarfing genes into elite wheat cultivars can promote early vigor and weed-competitiveness under Mediterranean climate. We develop near-isogenic lines of bread wheat cultivars with GAR dwarfing genes and evaluate them for early vigor and weed-competitiveness under various environmental and management conditions to identify promising NIL for weed-competitiveness and grain yield. While all seven NILs responded to external gibberellic acid application, they exhibited differences in early vigor. Greenhouse and field evaluations highlighted NIL OC1 (Rht8andRht12) as a promising line, with significant advantage in canopy early vigor over its parental. To facilitate accurate and continuous early vigor data collection, we applied non-destructive image-based phenotyping approaches which offers non-expensive and end-user friendly solution for selection. NIL OC1 was tested under different weed density level, infestation waves, and temperatures and highlight the complex genotypic x environmental x management interactions. Our findings demonstrate the potential of genetic modification of dwarfing genes as promising approach to improve weed-competitiveness, and serve as basis for future breeding efforts to support sustainable wheat production under semi-arid Mediterranean climate.","Marta"
26,NA,"not vetted","Comparison of water-saving potential of fallow and crop change with high water-use winter-wheat - summer-maize rotation","A land fallow system (LFS) designed to adjust the winter-wheat - summer-maize cropping system to fallow - summer-maize was introduced in Hebei Province to alleviate groundwater depletion in the region. However, some of the water saved was lost through evaporation from bare soil and transpiration by weeds. So far, no measurement has been done in the region to address this non-productive water loss, thereby limiting the water-saving potential of the introduced LFS. Furthermore, the reduction in crop production under the summer-maize - fallow system threatens food security. The objective of this study was to determine which practice is effective to keep soil water during fallow and the exact water-saving potential of different cropping system in the region. Firstly, field experiments were conducted under various soil surface management systems - including plastic mulching (PM), straw mulching (SM), shallow tillage (ST) and weed control (WC). The effects of saving water, controlling weeds and managing nutrients were analyzed under the various surface soil management methods. The results showed that compared with the control (no soil surface management, CK), 177, 64.7, 71.0 and 25.0 mm of water was saved respectively under PM, SM, WC and ST surface soil management methods in 2019-2020. The effect of weed control decreased in the order of PM > WC > SM > ST. While PM significantly increased soil nutrient in all the treatments, the others showed slight but insignificant increases. Secondly, the precise water-use of each of the cropping systems was determined using large lysimeters. The analysis showed that compared with the wheat-maize system, 60-100 mm of water was saved under alternating wheat-soybean, wheat-millet, mung bean - fresh edible maize, spring sweet potato cropping systems. The results were key for technical guide in developing future cultivation adjustment policies.","Marta"
